Jama,Grupa,Masa_[g]
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
ar VIII,3A,105
ar VIII,3B,52
ar VIII,3C,87
ar VIII,?,48
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
ar IX,3A,315
ar IX,3B,115
ar IX,3C,100
ar IX,?,13
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
ar XII,3A,5
ar XII,3B,45
ar XII,3C,11
ar XII,?,13
,,
,,
,,
,,
,,
,,
,,
ar XIV,3B,1180
ar XIV,3C,166
ar XIV,?,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
ar XV,3B,73
ar XV,3C,23
ar XV,?,4
,,
ar XVI,3A,14
ar XVI,3B,36
ar XVI,3C,18
ar XVI,?,29
,,
,,
,,
,,
ar XVII,3A,12
ar XVII,3C,29
ar XVII,?,27
,,
,,
ar XIX,3A,62
ar XIX,3B,10
ar XIX,3C,96
ar XIX,?,30
